prompt,response
Accès pour chef de production et admin,Accès configuré pour chef de production et admin. Délais ou priorités spécifiques ?
Fichiers : Exemple BDD estran.xlsx,"Fichier enregistré. Champs sensibles à masquer ? Exemple : salaires, CA_client"
Quel est le statut du poste Main d'oeuvre directe ?,"Poste MOD (Main d'oeuvre directe) : Budget 174 877 DH, Réalisé 42 830 DH. Variance : 5.0%. Tendance vs N-1 : -21.5%."
Quel est le taux de recapture du parc P6 ?,Le taux de recapture moyen du parc P6 est de 43.8% pour les opérations d'Transfert.
Quelles sont les données du parc P8 ?,Le parc P8 est situé en zone Nord. Phase : Échantillonnage. Biomasse récoltée : 436 kg. Taux de recapture : 47.0%.
Résumé YTD Finance,"YTD : Budget total 469 147 DH, Réalisé 202 813 DH. Variance globale : -9.7%. Principaux drivers : Main d'oeuvre directe, Cash flow."
Statut des bons de commande ?,BC en cours : 44. BC livrées : 63. Statut principal : Confirmation reçue.
Quel est le statut du poste Matières premières ?,"Poste MP (Matières premières) : Budget 322 541 DH, Réalisé 311 568 DH. Variance : 0.4%. Tendance vs N-1 : -2.2%."
Hello,Bonjour ! Assistant AZURA AQUA à votre service. Quel module vous intéresse ?
Quelles sont les données du parc P2 ?,Le parc P2 est situé en zone Est. Phase : grossissement. Biomasse récoltée : 1848 kg. Taux de recapture : 42.1%.
Capex vs Opex ?,"Opex : 450 lignes, 74 638 DH. Capex : 123 lignes, 331 660 DH."
Quel est le taux de recapture du parc P4 ?,Le taux de recapture moyen du parc P4 est de 87.6% pour les opérations d'Transfert.
Montre les données de type Transfert,"Pour le type « Transfert », il y a 45 lignes. Taux de recapture moyen : 34.8%. Biomasse totale : 1552 kg."
Configure le module Achats,"Module Achats sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Merci,De rien ! N'hésitez pas si vous avez d'autres questions sur AZURA AQUA.
Statut des bons de commande ?,BC en cours : 50. BC livrées : 191. Statut principal : Confirmation reçue.
Montre les données de type Échantillonnage,"Pour le type « Échantillonnage », il y a 38 lignes. Taux de recapture moyen : 83.7%. Biomasse totale : 231 kg."
Combien de DA sont en cours ?,Il y a 80 DA en cours dont 20 sans commande associée. Valeur totale : 397 169 DH.
Quelles sont les données du parc P3 ?,Le parc P3 est situé en zone Sud 1. Phase : Prégro. Biomasse récoltée : 1128 kg. Taux de recapture : 64.5%.
Comment fonctionne LOF ?,LOF est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Quelles sont les données du parc P6 ?,Le parc P6 est situé en zone Est. Phase : Prégro. Biomasse récoltée : 1907 kg. Taux de recapture : 58.0%.
Valider la configuration,Configuration validée pour le module Estran. Les paramètres sont enregistrés.
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Quel est le statut du poste Chiffre d'affaires ?,"Poste CA (Chiffre d'affaires) : Budget 353 453 DH, Réalisé 42 872 DH. Variance : -13.7%. Tendance vs N-1 : 9.7%."
KPI de SOUFIANE ELKAFRAOUI ?,SOUFIANE ELKAFRAOUI a créé 34 DA. BC associées : 26. Taux de transformation DA→BC : 63%.
Combien de DA sont en cours ?,Il y a 58 DA en cours dont 12 sans commande associée. Valeur totale : 129 867 DH.
Résumé YTD Finance,"YTD : Budget total 248 297 DH, Réalisé 132 909 DH. Variance globale : -27.8%. Principaux drivers : Frais généraux, EBITDA."
Résumé YTD Finance,"YTD : Budget total 435 460 DH, Réalisé 408 595 DH. Variance globale : 11.1%. Principaux drivers : Cash flow, Main d'oeuvre directe."
Résumé YTD Finance,"YTD : Budget total 416 225 DH, Réalisé 189 626 DH. Variance globale : 0.5%. Principaux drivers : Matières premières, Frais généraux."
Statut des bons de commande ?,BC en cours : 68. BC livrées : 184. Statut principal : Confirmation reçue.
Statut des bons de commande ?,BC en cours : 68. BC livrées : 195. Statut principal : Envoyé.
Quelles sont les anomalies financières ?,3 anomalies détectées via One-Class SVM. Poste principal : Investissements avec variance de 3.7%.
KPI de MOHAMED TAOUFIQ ?,MOHAMED TAOUFIQ a créé 46 DA. BC associées : 5. Taux de transformation DA→BC : 65%.
Comment fonctionne One-Class SVM ?,One-Class SVM est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Accès pour responsable achat et admin,Accès configuré pour responsable achat et admin. Délais ou priorités spécifiques ?
Capex vs Opex ?,"Opex : 326 lignes, 399 331 DH. Capex : 136 lignes, 205 988 DH."
Quelles sont les données du parc P2-4 ?,Le parc P2-4 est situé en zone Sud 1. Phase : Prégro. Biomasse récoltée : 1692 kg. Taux de recapture : 75.0%.
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Statut des bons de commande ?,BC en cours : 45. BC livrées : 134. Statut principal : Envoyé.
Combien de DA sont en cours ?,Il y a 17 DA en cours dont 26 sans commande associée. Valeur totale : 62 083 DH.
Quel est le statut du poste Frais généraux ?,"Poste FG (Frais généraux) : Budget 168 672 DH, Réalisé 317 297 DH. Variance : -1.5%. Tendance vs N-1 : -20.9%."
Quel est le statut du poste Matières premières ?,"Poste MP (Matières premières) : Budget 391 277 DH, Réalisé 278 225 DH. Variance : -17.1%. Tendance vs N-1 : -4.8%."
Valider la configuration,Configuration validée pour le module Finance. Les paramètres sont enregistrés.
Génère un commentaire IA sur les finances,Le résultat YTD montre une variance de 5.6% vs budget. Le principal driver est « Investissements ». Recommandation : surveiller les postes à forte déviation.
Capex vs Opex ?,"Opex : 305 lignes, 426 623 DH. Capex : 76 lignes, 422 382 DH."
Statut des bons de commande ?,BC en cours : 90. BC livrées : 199. Statut principal : En révision.
Comment fonctionne Z-Score ?,Z-Score est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Quel est le taux de recapture du parc P2-2 ?,Le taux de recapture moyen du parc P2-2 est de 32.7% pour les opérations d'Transfert.
Merci,De rien ! N'hésitez pas si vous avez d'autres questions sur AZURA AQUA.
Quelles sont les données du parc P6 ?,Le parc P6 est situé en zone Nord. Phase : Échantillonnage. Biomasse récoltée : 607 kg. Taux de recapture : 30.7%.
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Fournisseur ENTERPRISE BOUKRATE ?,"ENTERPRISE BOUKRATE : 27 commandes, valeur totale 369 072 DH. Catégories : STRUCTURE MÉTALLIQUE, INFORMATIQUE."
Capex vs Opex ?,"Opex : 342 lignes, 364 324 DH. Capex : 97 lignes, 238 491 DH."
Quel est le taux de recapture du parc P2-2 ?,Le taux de recapture moyen du parc P2-2 est de 69.0% pour les opérations d'Transfert.
Configure le module Estran,"Module Estran sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Y a-t-il des anomalies sur le parc P7 ?,"Oui, 5 anomalies détectées (Critique) via One-Class SVM. Biomasse écart : 232 kg. Vérifiez les lignes en zone Est."
Fournisseur AIR LIQUIDE MAROC ?,"AIR LIQUIDE MAROC : 19 commandes, valeur totale 203 766 DH. Catégories : MATÉRIEL D'USURE, INFORMATIQUE."
Comment fonctionne Isolation Forest ?,Isolation Forest est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Statut des bons de commande ?,BC en cours : 46. BC livrées : 67. Statut principal : Document lié créé.
Achats pour la catégorie CARBURANTS ?,"Catégorie CARBURANTS : 46 lignes, valeur 316 356 DH. Fournisseur principal : AGRIROUES MAROC."
Statut des bons de commande ?,BC en cours : 83. BC livrées : 169. Statut principal : Document lié créé.
Résumé YTD Finance,"YTD : Budget total 59 579 DH, Réalisé 13 686 DH. Variance globale : 14.1%. Principaux drivers : Cash flow, Investissements."
Capex vs Opex ?,"Opex : 365 lignes, 369 226 DH. Capex : 87 lignes, 151 793 DH."
Statut des bons de commande ?,BC en cours : 35. BC livrées : 172. Statut principal : Envoyé.
Compare Primaire et Hors calibre,"Primaire : 17 lignes, taux recapture 64.2%. Hors calibre : 19 lignes, taux recapture 89.8%."
Valider la configuration,Configuration validée pour le module Finance. Les paramètres sont enregistrés.
Quelles sont les données du parc P4 ?,Le parc P4 est situé en zone Sud 1. Phase : grossissement. Biomasse récoltée : 770 kg. Taux de recapture : 52.4%.
Compare Primaire et Hors calibre,"Primaire : 40 lignes, taux recapture 22.6%. Hors calibre : 25 lignes, taux recapture 28.1%."
Bonjour,Bonjour ! Je suis l'assistant AZURA AQUA. Comment puis-je vous aider ?
Y a-t-il des anomalies sur le parc P7-ext ?,"Oui, 5 anomalies détectées (Mineure) via One-Class SVM. Biomasse écart : 980 kg. Vérifiez les lignes en zone Nord."
Résumé YTD Finance,"YTD : Budget total 233 888 DH, Réalisé 316 047 DH. Variance globale : 13.1%. Principaux drivers : Main d'oeuvre directe, Cash flow."
Compare Primaire et Hors calibre,"Primaire : 17 lignes, taux recapture 57.2%. Hors calibre : 28 lignes, taux recapture 67.7%."
Capex vs Opex ?,"Opex : 410 lignes, 481 799 DH. Capex : 57 lignes, 145 497 DH."
Achats pour la catégorie STRUCTURE MÉTALLIQUE ?,"Catégorie STRUCTURE MÉTALLIQUE : 76 lignes, valeur 474 689 DH. Fournisseur principal : AGRIROUES MAROC."
Valider la configuration,Configuration validée pour le module Finance. Les paramètres sont enregistrés.
Quelles sont les données du parc P5 ?,Le parc P5 est situé en zone Ouest. Phase : grossissement. Biomasse récoltée : 1851 kg. Taux de recapture : 33.9%.
KPI de SAID BOUKHLIK ?,SAID BOUKHLIK a créé 37 DA. BC associées : 30. Taux de transformation DA→BC : 71%.
Quelles sont les anomalies financières ?,2 anomalies détectées via Z-Score. Poste principal : Main d'oeuvre directe avec variance de 22.9%.
Quel est le statut du poste Cash flow ?,"Poste CF (Cash flow) : Budget 357 210 DH, Réalisé 484 622 DH. Variance : 22.9%. Tendance vs N-1 : 8.6%."
Quel est le statut du poste Cash flow ?,"Poste CF (Cash flow) : Budget 242 153 DH, Réalisé 403 507 DH. Variance : -13.1%. Tendance vs N-1 : -7.1%."
Capex vs Opex ?,"Opex : 343 lignes, 313 025 DH. Capex : 118 lignes, 88 378 DH."
Compare Primaire et Hors calibre,"Primaire : 16 lignes, taux recapture 63.5%. Hors calibre : 14 lignes, taux recapture 64.0%."
Y a-t-il des anomalies sur le parc P6 ?,"Oui, 2 anomalies détectées (Critique) via Z-Score. Biomasse écart : 1277 kg. Vérifiez les lignes en zone Sud."
Montre les données de type Échantillonnage,"Pour le type « Échantillonnage », il y a 26 lignes. Taux de recapture moyen : 79.7%. Biomasse totale : 1959 kg."
Montre les données de type Récolte commerciale,"Pour le type « Récolte commerciale », il y a 12 lignes. Taux de recapture moyen : 87.9%. Biomasse totale : 1027 kg."
Quelles sont les données du parc P3 ?,Le parc P3 est situé en zone Ouest. Phase : Prégro. Biomasse récoltée : 1436 kg. Taux de recapture : 38.5%.
Combien de DA sont en cours ?,Il y a 75 DA en cours dont 19 sans commande associée. Valeur totale : 424 087 DH.
Quel est le taux de recapture du parc P2-2 ?,Le taux de recapture moyen du parc P2-2 est de 22.0% pour les opérations d'Transfert.
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Quelles sont les données du parc P2 ?,Le parc P2 est situé en zone Sud 1. Phase : Échantillonnage. Biomasse récoltée : 455 kg. Taux de recapture : 88.1%.
Statut des bons de commande ?,BC en cours : 21. BC livrées : 104. Statut principal : Envoyé.
Budget vs Réalisé pour Main d'oeuvre directe,Budget : 219 192 DH. Réalisé : 462 650 DH. Écart : 20.3%. Favorable.
Bonjour,Bonjour ! Je suis l'assistant AZURA AQUA. Comment puis-je vous aider ?
Évolution mensuelle des achats ?,"Dernier mois : 39 DA créées, 25 BC créées. Valeur : 458 549 DH. Tendance : stable."
Achats pour la catégorie PLOMBERIE ?,"Catégorie PLOMBERIE : 66 lignes, valeur 54 913 DH. Fournisseur principal : ENTERPRISE BOUKRATE."
Évolution mensuelle des achats ?,"Dernier mois : 74 DA créées, 25 BC créées. Valeur : 231 460 DH. Tendance : stable."
Configure le module Achats,"Module Achats sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Montre les données de type Retour commercial,"Pour le type « Retour commercial », il y a 25 lignes. Taux de recapture moyen : 62.3%. Biomasse totale : 252 kg."
Configure le module Achats,"Module Achats sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Comment importer des données ?,Glissez votre fichier .xlsx dans la barre d'import en haut de chaque page. Formats supportés : .xlsx et .xls (max 20 Mo).
Évolution mensuelle des achats ?,"Dernier mois : 69 DA créées, 23 BC créées. Valeur : 336 470 DH. Tendance : baisse."
Aide,"Je peux vous aider avec : Estran (production), Finance (budget/variances), Achats (DA/BC)."
Compare Primaire et Hors calibre,"Primaire : 35 lignes, taux recapture 59.0%. Hors calibre : 12 lignes, taux recapture 75.3%."
Valider la configuration,Configuration validée pour le module Achats. Les paramètres sont enregistrés.
Statut des bons de commande ?,BC en cours : 24. BC livrées : 69. Statut principal : En cours de préparation.
Quel est le taux de recapture du parc P4 ?,Le taux de recapture moyen du parc P4 est de 50.5% pour les opérations d'Transfert.
Statut des bons de commande ?,BC en cours : 30. BC livrées : 165. Statut principal : Confirmation reçue.
Configure le module Achats,"Module Achats sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Génère un commentaire IA sur les finances,Le résultat YTD montre une variance de -7.9% vs budget. Le principal driver est « Matières premières ». Recommandation : surveiller les postes à forte déviation.
Fichiers : Exemple BDD estran.xlsx,"Fichier enregistré. Champs sensibles à masquer ? Exemple : prix, aucun"
Achats pour la catégorie CO2 INTRANT ?,"Catégorie CO2 INTRANT : 47 lignes, valeur 225 866 DH. Fournisseur principal : AIR LIQUIDE MAROC."
Fournisseur AIR LIQUIDE MAROC ?,"AIR LIQUIDE MAROC : 5 commandes, valeur totale 296 531 DH. Catégories : PLOMBERIE, PRESTATION."
Statut des bons de commande ?,BC en cours : 27. BC livrées : 85. Statut principal : En révision.
Montre les données de type Retour commercial,"Pour le type « Retour commercial », il y a 34 lignes. Taux de recapture moyen : 85.3%. Biomasse totale : 1980 kg."
Capex vs Opex ?,"Opex : 230 lignes, 298 983 DH. Capex : 94 lignes, 279 168 DH."
Merci,De rien ! N'hésitez pas si vous avez d'autres questions sur AZURA AQUA.
Achats pour la catégorie STRUCTURE MÉTALLIQUE ?,"Catégorie STRUCTURE MÉTALLIQUE : 7 lignes, valeur 445 314 DH. Fournisseur principal : ACRAPLAST."
Budget vs Réalisé pour Main d'oeuvre directe,Budget : 57 366 DH. Réalisé : 322 892 DH. Écart : 14.5%. Favorable.
Quelles sont les anomalies financières ?,7 anomalies détectées via One-Class SVM. Poste principal : Amortissements avec variance de 3.5%.
Quel est le statut du poste Cash flow ?,"Poste CF (Cash flow) : Budget 100 766 DH, Réalisé 118 873 DH. Variance : 30.0%. Tendance vs N-1 : -20.7%."
Compare Primaire et Hors calibre,"Primaire : 17 lignes, taux recapture 62.5%. Hors calibre : 21 lignes, taux recapture 35.3%."
Montre les données de type Retour commercial,"Pour le type « Retour commercial », il y a 43 lignes. Taux de recapture moyen : 61.7%. Biomasse totale : 1466 kg."
Fournisseur AGUACONCEPT ?,"AGUACONCEPT : 15 commandes, valeur totale 2 433 DH. Catégories : PRESTATION, PRESTATION."
Quelles sont les données du parc P3 ?,Le parc P3 est situé en zone Est. Phase : grossissement. Biomasse récoltée : 589 kg. Taux de recapture : 57.5%.
Quelles sont les anomalies financières ?,7 anomalies détectées via Z-Score. Poste principal : Frais généraux avec variance de -17.1%.
Configure le module Finance,"Module Finance sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Configure le module Finance,"Module Finance sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Montre les données de type Récolte commerciale,"Pour le type « Récolte commerciale », il y a 42 lignes. Taux de recapture moyen : 89.3%. Biomasse totale : 825 kg."
KPI de SAID BOUKHLIK ?,SAID BOUKHLIK a créé 11 DA. BC associées : 36. Taux de transformation DA→BC : 69%.
KPI de RIDA AYYI ?,RIDA AYYI a créé 30 DA. BC associées : 32. Taux de transformation DA→BC : 75%.
Quelles sont les données du parc P7-ext ?,Le parc P7-ext est situé en zone Ouest. Phase : grossissement. Biomasse récoltée : 801 kg. Taux de recapture : 50.4%.
Combien de DA sont en cours ?,Il y a 51 DA en cours dont 7 sans commande associée. Valeur totale : 210 252 DH.
Quel est le taux de recapture du parc P2-4 ?,Le taux de recapture moyen du parc P2-4 est de 57.4% pour les opérations d'Transfert.
Résumé YTD Finance,"YTD : Budget total 165 563 DH, Réalisé 489 455 DH. Variance globale : -11.4%. Principaux drivers : Résultat net, Investissements."
Budget vs Réalisé pour Frais généraux,Budget : 26 715 DH. Réalisé : 351 285 DH. Écart : 24.3%. Favorable.
Statut des bons de commande ?,BC en cours : 96. BC livrées : 58. Statut principal : En cours d'approbation.
Quelles sont les données du parc P7-ext ?,Le parc P7-ext est situé en zone Ouest. Phase : Prégro. Biomasse récoltée : 847 kg. Taux de recapture : 85.0%.
Quel est le taux de recapture du parc P2-3 ?,Le taux de recapture moyen du parc P2-3 est de 50.0% pour les opérations d'Transfert.
Budget vs Réalisé pour Chiffre d'affaires,Budget : 4 958 DH. Réalisé : 156 543 DH. Écart : 4.1%. Favorable.
Valider la configuration,Configuration validée pour le module Estran. Les paramètres sont enregistrés.
Accès pour tous et responsable qualité,Accès configuré pour tous et responsable qualité. Délais ou priorités spécifiques ?
Budget vs Réalisé pour Amortissements,Budget : 149 292 DH. Réalisé : 238 309 DH. Écart : 29.3%. Défavorable.
Comment fonctionne Isolation Forest ?,Isolation Forest est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Résumé YTD Finance,"YTD : Budget total 65 360 DH, Réalisé 419 185 DH. Variance globale : -7.9%. Principaux drivers : Résultat net, Cash flow."
Que fais-tu ?,"Je suis l'assistant IA d'AZURA AQUA. J'analyse les données Estran, Finance et Achats."
Quelles sont les anomalies financières ?,6 anomalies détectées via Isolation Forest. Poste principal : Chiffre d'affaires avec variance de -25.1%.
Bonjour,Bonjour ! Je suis l'assistant AZURA AQUA. Comment puis-je vous aider ?
Quelles sont les données du parc P5 ?,Le parc P5 est situé en zone Est. Phase : grossissement. Biomasse récoltée : 1551 kg. Taux de recapture : 33.5%.
Résumé YTD Finance,"YTD : Budget total 499 636 DH, Réalisé 16 426 DH. Variance globale : -21.4%. Principaux drivers : Cash flow, Chiffre d'affaires."
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Y a-t-il des anomalies sur le parc P6 ?,"Oui, 1 anomalies détectées (Majeure) via LOF. Biomasse écart : 516 kg. Vérifiez les lignes en zone Sud 1."
Quelles sont les anomalies financières ?,5 anomalies détectées via LOF. Poste principal : Résultat net avec variance de 7.1%.
Y a-t-il des anomalies sur le parc P5 ?,"Oui, 5 anomalies détectées (Critique) via LOF. Biomasse écart : 340 kg. Vérifiez les lignes en zone Nord."
Quel est le taux de recapture du parc P4 ?,Le taux de recapture moyen du parc P4 est de 78.8% pour les opérations d'Échantillonnage.
Montre les données de type Transfert,"Pour le type « Transfert », il y a 22 lignes. Taux de recapture moyen : 58.4%. Biomasse totale : 789 kg."
Au revoir,Au revoir ! Bonne utilisation d'AZURA AQUA.
Comment importer des données ?,Glissez votre fichier .xlsx dans la barre d'import en haut de chaque page. Formats supportés : .xlsx et .xls (max 20 Mo).
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Y a-t-il des anomalies sur le parc P2-4 ?,"Oui, 1 anomalies détectées (Critique) via LOF. Biomasse écart : 763 kg. Vérifiez les lignes en zone Nord."
Y a-t-il des anomalies sur le parc P6 ?,"Oui, 1 anomalies détectées (Critique) via Isolation Forest. Biomasse écart : 469 kg. Vérifiez les lignes en zone Sud."
Quel est le statut du poste Frais généraux ?,"Poste FG (Frais généraux) : Budget 262 381 DH, Réalisé 293 032 DH. Variance : 20.0%. Tendance vs N-1 : 18.4%."
Capex vs Opex ?,"Opex : 308 lignes, 259 473 DH. Capex : 84 lignes, 169 374 DH."
Quel est le statut du poste Main d'oeuvre directe ?,"Poste MOD (Main d'oeuvre directe) : Budget 378 207 DH, Réalisé 229 566 DH. Variance : -27.4%. Tendance vs N-1 : -8.1%."
Achats pour la catégorie CARBURANTS ?,"Catégorie CARBURANTS : 68 lignes, valeur 76 611 DH. Fournisseur principal : AGATRAVE."
KPI de MAMOUN OUDGHIRI ?,MAMOUN OUDGHIRI a créé 19 DA. BC associées : 7. Taux de transformation DA→BC : 81%.
Fournisseur AIR LIQUIDE MAROC ?,"AIR LIQUIDE MAROC : 29 commandes, valeur totale 353 254 DH. Catégories : CARBURANTS, INFORMATIQUE."
Fournisseur AGRIROUES MAROC ?,"AGRIROUES MAROC : 12 commandes, valeur totale 61 414 DH. Catégories : ELECTRICITÉ, ÉQUIPEMENT LABORATOIRE."
Fournisseur AGATRAVE ?,"AGATRAVE : 11 commandes, valeur totale 406 482 DH. Catégories : ENGRAIS SOLIDE, ÉQUIPEMENT LABORATOIRE."
Accès pour responsable achat et responsable qualité,Accès configuré pour responsable achat et responsable qualité. Délais ou priorités spécifiques ?
Quelles sont les données du parc P8 ?,Le parc P8 est situé en zone Est. Phase : Échantillonnage. Biomasse récoltée : 1746 kg. Taux de recapture : 71.1%.
Résumé YTD Finance,"YTD : Budget total 425 558 DH, Réalisé 70 801 DH. Variance globale : -26.2%. Principaux drivers : Cash flow, Chiffre d'affaires."
Quel est le taux de recapture du parc P7 ?,Le taux de recapture moyen du parc P7 est de 35.7% pour les opérations d'Échantillonnage.
Résumé YTD Finance,"YTD : Budget total 153 948 DH, Réalisé 105 791 DH. Variance globale : -27.4%. Principaux drivers : Frais généraux, Chiffre d'affaires."
Statut des bons de commande ?,BC en cours : 73. BC livrées : 125. Statut principal : Envoyé.
Quel est le taux de recapture du parc P2-3 ?,Le taux de recapture moyen du parc P2-3 est de 20.7% pour les opérations d'Échantillonnage.
À bientôt,À bientôt ! L'assistant reste disponible.
Fichiers : Exemple BDD estran.xlsx,"Fichier enregistré. Champs sensibles à masquer ? Exemple : prix, salaires"
Fichiers : ventes.xlsx,"Fichier enregistré. Champs sensibles à masquer ? Exemple : CA_client, prix"
Génère un commentaire IA sur les finances,Le résultat YTD montre une variance de -5.4% vs budget. Le principal driver est « Cash flow ». Recommandation : surveiller les postes à forte déviation.
Comment fonctionne Z-Score ?,Z-Score est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Compare Primaire et Hors calibre,"Primaire : 24 lignes, taux recapture 37.9%. Hors calibre : 10 lignes, taux recapture 82.9%."
Résumé YTD Finance,"YTD : Budget total 315 959 DH, Réalisé 431 243 DH. Variance globale : -19.2%. Principaux drivers : EBITDA, Amortissements."
Comment importer des données ?,Glissez votre fichier .xlsx dans la barre d'import en haut de chaque page. Formats supportés : .xlsx et .xls (max 20 Mo).
Achats pour la catégorie ELECTRICITÉ ?,"Catégorie ELECTRICITÉ : 59 lignes, valeur 413 803 DH. Fournisseur principal : AGUACONCEPT."
Compare Primaire et Hors calibre,"Primaire : 10 lignes, taux recapture 38.5%. Hors calibre : 13 lignes, taux recapture 51.8%."
Fournisseur CACED SARL ?,"CACED SARL : 27 commandes, valeur totale 377 052 DH. Catégories : CO2 INTRANT, ENGRAIS SOLIDE."
Salut,"Salut ! Que souhaitez-vous consulter ? Estran, Finance, ou Achats ?"
Quelles sont les données du parc P2-2 ?,Le parc P2-2 est situé en zone Est. Phase : Échantillonnage. Biomasse récoltée : 1169 kg. Taux de recapture : 75.6%.
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Statut des bons de commande ?,BC en cours : 49. BC livrées : 188. Statut principal : Envoyé.
Statut des bons de commande ?,BC en cours : 86. BC livrées : 106. Statut principal : En cours d'approbation.
Combien de DA sont en cours ?,Il y a 79 DA en cours dont 9 sans commande associée. Valeur totale : 342 740 DH.
Statut des bons de commande ?,BC en cours : 37. BC livrées : 109. Statut principal : Document lié créé.
Merci,De rien ! N'hésitez pas si vous avez d'autres questions sur AZURA AQUA.
Résumé YTD Finance,"YTD : Budget total 144 046 DH, Réalisé 335 366 DH. Variance globale : 28.8%. Principaux drivers : Chiffre d'affaires, Matières premières."
Quelles sont les données du parc P2 ?,Le parc P2 est situé en zone Sud. Phase : Prégro. Biomasse récoltée : 648 kg. Taux de recapture : 32.3%.
Évolution mensuelle des achats ?,"Dernier mois : 50 DA créées, 19 BC créées. Valeur : 120 134 DH. Tendance : stable."
Accès pour admin et manager,Accès configuré pour admin et manager. Délais ou priorités spécifiques ?
Statut des bons de commande ?,BC en cours : 58. BC livrées : 86. Statut principal : En cours de préparation.
Quelles sont les données du parc P2 ?,Le parc P2 est situé en zone Est. Phase : Prégro. Biomasse récoltée : 363 kg. Taux de recapture : 79.9%.
Quelles sont les anomalies financières ?,8 anomalies détectées via One-Class SVM. Poste principal : Investissements avec variance de -29.5%.
Au revoir,Bonne journée !
Compare Primaire et Hors calibre,"Primaire : 38 lignes, taux recapture 63.9%. Hors calibre : 11 lignes, taux recapture 41.6%."
Quel est le statut du poste Amortissements ?,"Poste AMORT (Amortissements) : Budget 184 137 DH, Réalisé 3 301 DH. Variance : -19.1%. Tendance vs N-1 : -21.4%."
Combien de DA sont en cours ?,Il y a 17 DA en cours dont 19 sans commande associée. Valeur totale : 69 276 DH.
Résumé YTD Finance,"YTD : Budget total 22 924 DH, Réalisé 333 374 DH. Variance globale : -6.8%. Principaux drivers : Amortissements, EBITDA."
Combien de DA sont en cours ?,Il y a 60 DA en cours dont 13 sans commande associée. Valeur totale : 428 156 DH.
Aide,"Je peux vous aider avec : Estran (production), Finance (budget/variances), Achats (DA/BC)."
Fournisseur AGUACONCEPT ?,"AGUACONCEPT : 17 commandes, valeur totale 121 659 DH. Catégories : MATÉRIEL D'USURE, ELECTRICITÉ."
Quelles sont les données du parc P3 ?,Le parc P3 est situé en zone Sud. Phase : Prégro. Biomasse récoltée : 1472 kg. Taux de recapture : 89.9%.
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Compare Primaire et Hors calibre,"Primaire : 19 lignes, taux recapture 83.2%. Hors calibre : 11 lignes, taux recapture 42.7%."
Statut des bons de commande ?,BC en cours : 58. BC livrées : 146. Statut principal : Envoyé.
Hello,Bonjour ! Assistant AZURA AQUA à votre service. Quel module vous intéresse ?
Statut des bons de commande ?,BC en cours : 82. BC livrées : 167. Statut principal : Envoyé.
Valider la configuration,Configuration validée pour le module Finance. Les paramètres sont enregistrés.
Résumé YTD Finance,"YTD : Budget total 180 724 DH, Réalisé 67 384 DH. Variance globale : 22.7%. Principaux drivers : Investissements, Main d'oeuvre directe."
KPI de MOHAMED TAOUFIQ ?,MOHAMED TAOUFIQ a créé 30 DA. BC associées : 7. Taux de transformation DA→BC : 79%.
Résumé YTD Finance,"YTD : Budget total 369 218 DH, Réalisé 234 075 DH. Variance globale : -17.1%. Principaux drivers : EBITDA, Cash flow."
